id,text,date,category,source
CF001,新しいモバイルアプリのUIがとても使いやすくなりました。特にダッシュボードの視認性が良くなって、毎日の確認がスムーズです。開発チームの皆さんに感謝します。,2025-01-05,製品品質,アプリレビュー
CF002,先月購入した製品が3週間で故障しました。サポートに連絡しても対応が遅く、非常に不満です。返品手続きもわかりにくいです。,2025-01-08,サポート対応,問い合わせフォーム
CF003,御社のクラウドサービスを導入してから業務効率が30%向上しました。特にデータ分析機能が秀逸で、レポート作成時間が大幅に短縮されました。,2025-01-10,製品品質,メールアンケート
CF004,配送が予定日より5日も遅れました。追跡情報も更新されず、問い合わせても「確認中」の一点張りでした。もう少し改善してほしいです。,2025-01-12,配送・物流,SNS
CF005,カスタマーサポートの田中さんの対応が素晴らしかったです。問題を丁寧に聞いてくれて、迅速に解決してくれました。他のスタッフもこのレベルを目指してほしい。,2025-01-14,サポート対応,電話後アンケート
CF006,料金プランが複雑すぎて理解できません。ベーシックとスタンダードの違いが曖昧で、どちらを選べばいいかわかりませんでした。もっとシンプルにしてください。,2025-01-15,料金・契約,問い合わせフォーム
CF007,新機能のAIアシスタントが本当に便利です。質問するとすぐに適切な回答が返ってきて、マニュアルを探す手間が省けます。これからも機能拡充を期待しています。,2025-01-18,製品品質,アプリレビュー
CF008,セキュリティに関する情報が不足しています。データの暗号化方式やアクセス制御の詳細が公開されておらず、社内の情報セキュリティ部門から導入に反対されています。,2025-01-20,セキュリティ,メールアンケート
CF009,マニュアルが古いバージョンのままで、現行の画面と全く異なります。初心者にはとても混乱します。ドキュメントの更新をお願いします。,2025-01-22,ドキュメント,問い合わせフォーム
CF010,年末の大規模セール中にサイトがダウンして買い物ができませんでした。セール品をカートに入れていたのに、復旧後には売り切れになっていて非常にがっかりしました。,2025-01-25,システム障害,SNS
CF011,API連携機能がとても充実していて、既存システムとの統合がスムーズでした。開発ドキュメントも分かりやすく、2日で連携完了しました。,2025-01-28,製品品質,メールアンケート
CF012,契約更新時の自動課金について事前通知がなく、知らないうちに請求されていました。透明性のある料金体系を求めます。,2025-02-01,料金・契約,問い合わせフォーム
CF013,チャットサポートの待ち時間が30分以上でした。AIチャットボットでは解決できず、人間のオペレーターにつながるまでが長すぎます。改善を強く希望します。,2025-02-03,サポート対応,SNS
CF014,新しいレポート機能のカスタマイズ性が高く、経営会議の資料作成に大活躍しています。グラフの種類も豊富で、データの見せ方に困ることがなくなりました。,2025-02-05,製品品質,アプリレビュー
CF015,モバイルアプリがバッテリーを大量に消費します。バックグラウンドでの動作を最適化してほしいです。1時間で20%以上減るのは異常だと思います。,2025-02-08,製品品質,アプリレビュー
CF016,御社のセミナーに参加しましたが、内容が基本的すぎて物足りなかったです。上級者向けのコースも用意してもらえると嬉しいです。,2025-02-10,サービス,メールアンケート
CF017,多言語対応が不十分で、英語以外の言語サポートがほとんどありません。グローバル展開を考えているので、中国語と韓国語の対応を早急にお願いしたいです。,2025-02-12,製品品質,問い合わせフォーム
CF018,解約手続きがウェブサイトからできず、電話でしか受け付けていないのは不便です。オンラインで完結できるようにしてください。,2025-02-14,料金・契約,SNS
CF019,新しいダッシュボードのリアルタイム分析機能が素晴らしいです。データの変化を即座に把握でき、意思決定のスピードが格段に上がりました。,2025-02-17,製品品質,メールアンケート
CF020,初期設定が複雑すぎます。マニュアル通りに進めても途中でエラーが出て、結局サポートに問い合わせることになりました。もっとウィザード形式にしてほしい。,2025-02-20,ドキュメント,問い合わせフォーム
CF021,先日のシステムメンテナンスについて、事前の告知が直前すぎました。もっと早めに通知してもらわないと、業務計画に影響が出ます。,2025-02-22,システム障害,メールアンケート
CF022,パスワードリセットの手順が煩雑で、SMS認証とメール認証の両方が必要なのは手間がかかりすぎます。セキュリティは大切ですが、もう少しバランスを取ってほしい。,2025-02-25,セキュリティ,問い合わせフォーム
CF023,データエクスポート機能が追加されたのは嬉しいのですが、CSV形式しか選べません。ExcelやJSON形式にも対応してほしいです。,2025-02-28,製品品質,アプリレビュー
CF024,御社のプロダクトは他社と比較して圧倒的にコストパフォーマンスが良いです。同等の機能を持つ競合製品の半額以下で利用できるのは大きなメリットです。,2025-03-02,料金・契約,メールアンケート
CF025,請求書のフォーマットが会社の経理システムと互換性がなく、毎月手動で変換しています。請求書のカスタマイズ機能があると助かります。,2025-03-05,料金・契約,問い合わせフォーム
CF026,機械学習モデルの精度が非常に高く、テキスト分類の正確性に驚いています。誤分類が以前のツールの10分の1以下になりました。素晴らしい技術力です。,2025-03-07,製品品質,メールアンケート
CF027,アプリのプッシュ通知が多すぎて煩わしいです。通知の種類ごとにオン・オフを設定できるようにしてほしいです。,2025-03-10,製品品質,アプリレビュー
CF028,導入時のオンボーディングプログラムが非常に充実していて、チーム全員がスムーズに使い始めることができました。専任のCSMも頼もしいです。,2025-03-12,サポート対応,メールアンケート
CF029,アクセス権限の管理が粗すぎます。部署ごとにデータの閲覧範囲を細かく設定したいのに、全体共有か非公開かの2択しかないのは困ります。,2025-03-15,セキュリティ,問い合わせフォーム
CF030,年末年始の繁忙期にサポート窓口が休みになるのは困ります。24時間365日のサポート体制を構築してほしいです。せめてチャットボットを強化してください。,2025-03-18,サポート対応,SNS
CF031,ウェビナーの録画配信が始まって助かっています。リアルタイムで参加できない場合でも後から視聴できるので、学習効率が上がりました。,2025-03-20,サービス,メールアンケート
CF032,ファイルアップロードの容量制限が10MBは少なすぎます。大量のデータを一括インポートしたいので、せめて100MB以上にしてほしいです。,2025-03-22,製品品質,問い合わせフォーム
CF033,最近のアップデートでUIが大幅に変わりました。以前の配置に慣れていたので混乱しています。変更前のレイアウトに戻すオプションがほしいです。,2025-03-25,製品品質,アプリレビュー
CF034,御社の環境への取り組みに共感しています。カーボンニュートラルなクラウドインフラを使用しているという点が、弊社のESG方針と合致しています。,2025-03-28,サービス,メールアンケート
CF035,二段階認証を設定しようとしたら、対応している認証アプリが限定的でした。Google AuthenticatorやMicrosoft Authenticatorにも対応してほしいです。,2025-04-01,セキュリティ,問い合わせフォーム
CF036,納品されたハードウェアに初期不良がありました。交換対応は迅速でしたが、検品体制を見直してほしいです。,2025-04-03,製品品質,電話後アンケート
CF037,データバックアップの自動化機能が素晴らしいです。以前は手動でバックアップを取っていたので、運用負荷が大幅に軽減されました。復元テストも簡単です。,2025-04-05,製品品質,メールアンケート
CF038,営業担当者の訪問頻度が高すぎます。月に何度もアポイントの連絡が来ますが、用件があるときだけにしてほしいです。,2025-04-08,サービス,問い合わせフォーム
CF039,支払い方法がクレジットカードのみなのは不便です。銀行振込や請求書払いにも対応してほしいです。法人利用では必須の要件です。,2025-04-10,料金・契約,問い合わせフォーム
CF040,新しいコラボレーション機能で、チーム内のデータ共有と共同編集が格段にやりやすくなりました。リアルタイムでの変更反映も速いです。,2025-04-12,製品品質,アプリレビュー
CF041,検索機能が貧弱です。部分一致検索すらまともに動かず、目的のデータを見つけるのに時間がかかります。全文検索エンジンの導入を検討してください。,2025-04-15,製品品質,問い合わせフォーム
CF042,製品の品質は満足していますが、サポートの対応品質にばらつきがあります。担当者によって回答が異なることがあり、信頼性に欠けます。,2025-04-18,サポート対応,メールアンケート
CF043,ダウンタイムが月に2回ほど発生しており、業務に支障をきたしています。SLAの99.9%稼働率を謳っていますが、実態と乖離していると感じます。,2025-04-20,システム障害,SNS
CF044,データ分析のテンプレートが充実しており、分析初心者でも簡単にレポートが作成できます。特に売上分析と顧客分析のテンプレートが実用的です。,2025-04-22,製品品質,メールアンケート
CF045,パーソナライズされたダッシュボードの提案機能が便利です。利用パターンに基づいて最適なウィジェット配置を提案してくれるのは画期的です。,2025-04-25,製品品質,アプリレビュー
CF046,オフライン機能がないため、出張先でネットワーク接続が不安定な場所では全く使えません。オフラインでも基本機能が使えるようにしてほしいです。,2025-04-28,製品品質,問い合わせフォーム
CF047,他社からの乗り換えを検討していますが、データ移行ツールが提供されていないため踏み切れません。インポートウィザードがあると導入のハードルが下がります。,2025-05-01,サービス,メールアンケート
CF048,サービスレベルアグリーメントの内容を見直してほしいです。障害発生時の補償基準が曖昧で、実際の損害に見合わない内容になっています。,2025-05-05,料金・契約,問い合わせフォーム
CF049,ユーザーコミュニティフォーラムが活発で、同じ課題を持つユーザーの解決策を参考にできるのが助かっています。公式サポートよりも素早く回答が得られることもあります。,2025-05-08,サービス,アプリレビュー
CF050,最新バージョンへのアップデートを行ったら、以前保存したカスタム設定がすべてリセットされました。アップデート時に設定が引き継がれるようにしてください。,2025-05-10,製品品質,問い合わせフォーム
CF051,御社の分析ツールを使って顧客の離反予測モデルを構築しました。予測精度が85%を超えており、マーケティング施策の効果が大幅に向上しています。,2025-05-12,製品品質,メールアンケート
CF052,印刷機能が使いにくいです。レイアウトが崩れたり、余白が大きすぎたりして、そのまま提出できるクオリティになりません。印刷プレビュー機能の改善を望みます。,2025-05-15,製品品質,問い合わせフォーム
CF053,障害発生時のステータスページの更新が遅いです。Twitterで障害情報を知ることが多く、公式の情報提供体制に疑問を感じます。,2025-05-18,システム障害,SNS
CF054,新しい翻訳機能のおかげで、海外拠点とのコミュニケーションが円滑になりました。特に技術文書の翻訳精度が高く、誤訳による混乱が減りました。,2025-05-20,製品品質,メールアンケート
CF055,アカウント管理画面から退会ボタンが見つけにくい場所に隠されています。ユーザーの自由を尊重する設計にしてください。ダークパターンは信頼を損ないます。,2025-05-22,料金・契約,SNS
CF056,管理者向けの監査ログ機能が充実しています。誰がいつどのデータにアクセスしたか詳細に追跡でき、内部統制の観点から非常に有用です。,2025-05-25,セキュリティ,メールアンケート
CF057,モバイルアプリのレスポンスが遅いです。特にデータ量が多いとき画面遷移に3秒以上かかることがあります。パフォーマンスチューニングをお願いします。,2025-05-28,製品品質,アプリレビュー
CF058,契約期間の途中でプランのダウングレードができないのは不公平です。ビジネス環境の変化に応じて柔軟にプラン変更できるようにしてください。,2025-06-01,料金・契約,問い合わせフォーム
CF059,定期的なメンテナンスウィンドウが平日の日中に設定されているのは困ります。夜間か休日に実施してもらえると業務への影響が最小限で済みます。,2025-06-03,システム障害,メールアンケート
CF060,APIのレスポンス速度が安定していて、リアルタイムアプリケーションの開発に最適です。P99レイテンシが50ms以下なのは素晴らしいパフォーマンスです。,2025-06-05,製品品質,メールアンケート
CF061,製品ロードマップが公開されていないため、将来の機能追加予定がわかりません。長期的な計画を立てるために、少なくとも四半期ごとのロードマップを共有してほしいです。,2025-06-08,サービス,問い合わせフォーム
CF062,大量データのバッチ処理機能が優れています。100万件のレコードを30分で処理できるのは、他社製品では考えられないスピードです。,2025-06-10,製品品質,メールアンケート
CF063,サポートチケットの回答が定型文の貼り付けばかりで、問題の本質を理解してもらえていない感じがします。もっと個別の状況に応じた回答を期待します。,2025-06-12,サポート対応,問い合わせフォーム
CF064,新しいワークフロー自動化機能で、承認プロセスが効率化されました。以前はメールで回していた承認が、システム上で完結するようになり時間短縮です。,2025-06-15,製品品質,メールアンケート
CF065,料金の為替変動による影響が大きいです。ドル建て請求のため、円安の時に突然コストが跳ね上がります。円建て請求のオプションを用意してほしいです。,2025-06-18,料金・契約,問い合わせフォーム
CF066,操作ログから不正アクセスの兆候を検知するアラート機能が追加されたのは心強いです。セキュリティインシデントの早期発見に役立っています。,2025-06-20,セキュリティ,メールアンケート
CF067,エクスポートしたPDFの文字化けが頻繁に発生します。特に日本語と英語が混在するドキュメントで問題が顕著です。文字コードの処理を見直してください。,2025-06-22,製品品質,問い合わせフォーム
CF068,カスタマーサクセスチームの定期ミーティングで、活用方法のアドバイスをもらえるのがありがたいです。我々が気づかなかった使い方を教えてもらい、ROIが向上しました。,2025-06-25,サポート対応,メールアンケート
CF069,データセンターの所在地が海外のみなのが気になります。日本国内にもデータセンターを設置してもらえると、レイテンシの改善とデータ主権の観点から安心です。,2025-06-28,セキュリティ,問い合わせフォーム
CF070,ダークモードの実装ありがとうございます！長時間の作業でも目が疲れにくくなりました。カラーテーマのカスタマイズもできると嬉しいです。,2025-07-01,製品品質,アプリレビュー
CF071,先月の大規模障害でデータが一部消失したとの報告を受け、非常に不安を感じています。障害報告の詳細と再発防止策を早急に開示してください。,2025-07-03,システム障害,問い合わせフォーム
CF072,機能が多すぎて使いこなせていない気がします。よく使う機能だけを表示するシンプルモードのようなものがあると、初心者にも優しいと思います。,2025-07-05,製品品質,メールアンケート
CF073,お客様感謝デーのキャンペーンで無料トレーニングを提供してくれたのは嬉しかったです。こういったイベントをもっと頻繁に開催してほしいです。,2025-07-08,サービス,メールアンケート
CF074,API制限の上限に頻繁に到達してしまいます。レートリミットの引き上げか、バースト対応のオプションを検討してください。,2025-07-10,製品品質,問い合わせフォーム
CF075,競合製品から乗り換えましたが、インテグレーション機能の豊富さに驚いています。Slack、Teams、Salesforceとの連携がシームレスです。,2025-07-12,製品品質,メールアンケート
CF076,利用規約が突然変更されたのに、通知がメールの小さなフッターにしか書かれていませんでした。重要な変更はもっと目立つ形で通知すべきです。,2025-07-15,料金・契約,SNS
CF077,管理画面の操作でうっかりデータを削除してしまいました。確認ダイアログが1回だけで、重要な操作なのに軽すぎます。二重確認やアンドゥ機能の実装を求めます。,2025-07-18,製品品質,問い合わせフォーム
CF078,マルチテナント環境でのデータ分離が適切に行われていることを監査で確認しました。コンプライアンス要件を満たしており安心して利用できます。,2025-07-20,セキュリティ,メールアンケート
CF079,レポート機能のPDFエクスポートで日本語フォントが正しく表示されません。既知の問題とのことですが、いつ修正される予定ですか。,2025-07-22,製品品質,問い合わせフォーム
CF080,サポートへの問い合わせに対して、想定外に丁寧で詳しい回答をいただきました。技術的な背景まで説明してくれて、根本原因の理解に役立ちました。,2025-07-25,サポート対応,電話後アンケート
CF081,テスト環境と本番環境を分離できる機能が追加されたのは開発チームとして非常に助かります。安全にテストを行えるようになりました。,2025-07-28,製品品質,メールアンケート
CF082,価格改定の通知が契約更新の1週間前でした。予算の確保が間に合わず、更新を見送らざるを得ませんでした。最低でも3ヶ月前に通知してほしい。,2025-08-01,料金・契約,問い合わせフォーム
CF083,データ可視化のチャートがインタラクティブになり、ドリルダウン分析ができるようになりました。データの深掘りが直感的で、非技術者にも好評です。,2025-08-03,製品品質,メールアンケート
CF084,FAQページの情報が古くて参考になりません。現行バージョンに合わせて更新してください。検索しても関連性の低い記事ばかり出てきます。,2025-08-05,ドキュメント,問い合わせフォーム
CF085,新機能の通知ポップアップがうるさいです。既に確認済みの情報が何度も表示されるのは煩わしいです。「今後表示しない」オプションを追加してください。,2025-08-08,製品品質,アプリレビュー
CF086,全社ライセンスを導入してから1年が経ちますが、チーム全体の生産性が確実に向上しました。年間ROIは投資額の3倍以上と試算しています。,2025-08-10,料金・契約,メールアンケート
CF087,データのインポート・エクスポートのスケジュール設定ができるようになり、毎朝の定型業務が自動化されました。地味ですが非常にインパクトのある改善です。,2025-08-12,製品品質,メールアンケート
CF088,同業他社の方から聞いた話では、御社のセキュリティ対策が業界随一とのこと。SOC2 Type IIの認証取得も信頼の裏付けになっています。,2025-08-15,セキュリティ,メールアンケート
CF089,トライアル期間が14日では短すぎます。大企業の意思決定には通常1-2ヶ月かかります。30日間のトライアルに延長してもらえないでしょうか。,2025-08-18,料金・契約,問い合わせフォーム
CF090,モバイルアプリでのグラフ表示が小さすぎて、ピンチズームしないと数値が読めません。タブレット表示への最適化をお願いします。,2025-08-20,製品品質,アプリレビュー
CF091,毎月届くニュースレターの製品活用ティップスが参考になります。特に「こんな使い方もできる」のコーナーで新しい発見があります。,2025-08-22,サービス,メールアンケート
CF092,海外拠点からのアクセスが遅いことがあります。CDNの配置を見直してほしいです。特にアジア太平洋地域のレスポンスが改善されると嬉しいです。,2025-08-25,製品品質,問い合わせフォーム
CF093,権限のないユーザーが他部署のデータにアクセスできてしまうバグを発見しました。すぐに修正されましたが、このようなセキュリティホールは致命的です。,2025-08-28,セキュリティ,問い合わせフォーム
CF094,自然言語処理の精度向上が実感できます。以前は誤分類が多かったカテゴリも、最近は正確に分類されるようになりました。継続的な改善に感謝します。,2025-09-01,製品品質,メールアンケート
CF095,電話サポートの営業時間が平日9時-17時のみでは、業務中に電話する時間が取れません。少なくとも19時まで延長してもらえると助かります。,2025-09-03,サポート対応,問い合わせフォーム
CF096,ブラウザの互換性に問題があります。Chromeでは正常に動くのに、Safariでは一部のボタンが機能しません。クロスブラウザ対応をしっかりしてください。,2025-09-05,製品品質,問い合わせフォーム
CF097,環境設定のインポート・エクスポート機能のおかげで、新しいメンバーのセットアップが5分で完了するようになりました。オンボーディング効率が大幅にアップしました。,2025-09-08,製品品質,メールアンケート
CF098,サービスの信頼性には満足していますが、障害発生時のコミュニケーションが改善の余地ありです。ステータスページの更新頻度を上げてほしいです。,2025-09-10,システム障害,メールアンケート
CF099,新しいAIベースの異常検知機能がコスト削減に貢献しています。不正利用の早期発見で、月間の損失額が40%削減されました。,2025-09-12,製品品質,メールアンケート
CF100,来年の契約更新に向けて、マルチイヤー契約の割引プランがあれば検討したいです。3年契約で20%割引などがあると嬉しいです。,2025-09-15,料金・契約,問い合わせフォーム
