response_id,comment,survey_date,department,role
ES001,リモートワーク環境が整備されており、自宅でも効率的に業務を遂行できています。特にコミュニケーションツールの充実度が高く、チームとの連携に支障はありません。,2025-03-01,営業部,マネージャー
ES002,昇進の基準が不透明で、何を達成すればキャリアアップできるのかわかりません。上司との面談でも具体的なフィードバックがもらえず、モチベーションが低下しています。,2025-03-01,マーケティング部,一般社員
ES003,社内研修プログラムが充実しており、技術スキルの向上に大いに役立っています。特にクラウド技術の研修は即座に業務に活かせる内容でした。,2025-03-01,開発部,シニアエンジニア
ES004,残業が常態化しています。月40時間以上の残業が3ヶ月連続で続いており、ワークライフバランスが崩れています。人員補充を検討してほしいです。,2025-03-01,開発部,一般社員
ES005,新しいオフィスの設備は快適ですが、会議室の数が足りません。打ち合わせのたびに空き会議室を探すのに時間がかかります。フリーアドレスで場所を柔軟に使えるようにしてほしい。,2025-03-01,企画部,マネージャー
ES006,部署間の連携が弱いと感じます。他部署との情報共有が不足しており、同じような業務を別々の部署で重複して行っているケースがあります。,2025-03-01,経理部,一般社員
ES007,メンタルヘルスサポートの強化をお願いします。ストレスチェックの結果は問題なしですが、実際には業務量の多さから心理的な負担を感じている社員が多いです。,2025-03-01,人事部,マネージャー
ES008,社食の選択肢が少なく、毎日同じようなメニューの繰り返しです。健康志向のメニューやアレルギー対応のオプションを増やしてほしいです。,2025-03-01,総務部,一般社員
ES009,技術部門のマネジメント層にもっと技術的なバックグラウンドを持つ人材を配置してほしいです。現状では技術的な判断が現場に丸投げされることが多く、意思決定が遅れがちです。,2025-03-01,開発部,リードエンジニア
ES010,フレックスタイム制度のおかげで、子供の送り迎えと仕事を両立できています。この制度を今後も継続してほしいです。コアタイムの短縮もできれば嬉しいです。,2025-03-01,営業部,一般社員
ES011,社内のDX推進プロジェクトに参加していますが、経営層の理解が不足していると感じます。デジタル化の必要性を説明しても、「今までのやり方で問題ない」という反応が多いです。,2025-03-01,情報システム部,マネージャー
ES012,新入社員のオンボーディングプロセスが改善されました。メンター制度の導入で、質問しやすい環境が整い、早期に戦力化できるようになりました。,2025-03-01,人事部,一般社員
ES013,営業ツールが古く、顧客管理が非効率です。Excelでの管理を脱却して、CRMシステムの導入を検討してほしいです。他社では既に当たり前のことです。,2025-03-01,営業部,一般社員
ES014,チームビルディングのイベントが減って残念です。以前は四半期ごとにチーム全員での食事会やアクティビティがありましたが、今年は一度もありません。,2025-03-01,マーケティング部,シニアデザイナー
ES015,評価制度が結果主義に偏りすぎています。プロセスや努力も評価に反映してほしいです。結果が出にくい研究開発職にとっては不利な仕組みだと感じます。,2025-03-01,R&D部,研究員
ES016,テレワーク手当が月額3,000円は少なすぎます。通信費、電気代、椅子やデスクの購入費を考えると、最低でも月額10,000円は必要です。,2025-03-01,経理部,一般社員
ES017,プロジェクト管理ツールが統一されておらず、チームによってJira、Asana、Trelloとバラバラです。全社で統一してほしいです。情報の分散が効率低下の原因になっています。,2025-03-01,開発部,プロジェクトマネージャー
ES018,グローバル会議の時差が辛いです。海外拠点との会議が深夜になることが多く、健康面での影響が出ています。ローテーション制にして負担を分散できないでしょうか。,2025-03-01,営業部,マネージャー
ES019,社内コミュニケーションがメール中心で非効率です。Slackやteamsのようなチャットツールを本格導入して、リアルタイムのやり取りができる環境を整えてほしいです。,2025-03-01,企画部,一般社員
ES020,女性管理職の比率が依然として低い状況です。ダイバーシティ推進を掲げるなら、具体的な目標数値と達成計画を示すべきです。,2025-03-01,人事部,マネージャー
ES021,業務で使用するPCのスペックが低すぎて、データ分析ツールの動作が遅いです。業務に必要な性能のPCを支給してほしいです。SSD搭載・メモリ16GB以上は最低限必要です。,2025-03-01,データ分析部,アナリスト
ES022,コンプライアンス研修が形骸化しています。毎年同じ内容のeラーニングを受けるだけで、実務に即した具体的なケーススタディが不足しています。,2025-03-01,法務部,一般社員
ES023,新しいプロジェクトの立ち上げ時に、必要なリソースの確保がスムーズになりました。資源配分の見直しプロセスが透明化されたことで、公平感が増しました。,2025-03-01,企画部,マネージャー
ES024,オフィスの空調管理が不適切です。夏は冷えすぎ、冬は暖房が弱すぎます。席によって温度差が大きく、快適に業務を行うことが困難な日があります。,2025-03-01,総務部,一般社員
ES025,社内公募制度を利用してキャリアチェンジができました。この制度のおかげで、やりたかった分野に挑戦する機会を得られ、仕事への意欲が大幅に向上しました。,2025-03-01,マーケティング部,一般社員
ES026,セキュリティポリシーが厳しすぎて、業務の効率性を損なっています。USBメモリの使用禁止は理解できますが、外部サイトへのアクセス制限が過度で、調査業務に支障が出ています。,2025-03-01,情報システム部,一般社員
ES027,1on1ミーティングが定期的に行われるようになり、上司との信頼関係が深まりました。キャリアの方向性について率直に相談できる場があるのは心強いです。,2025-03-01,営業部,一般社員
ES028,会社のビジョンと日常業務のつながりが見えにくいです。経営方針発表会はありますが、それが個々の業務にどう落とし込まれるのかの説明が不足しています。,2025-03-01,企画部,一般社員
ES029,副業が解禁されたのは嬉しいですが、申請手続きが煩雑で敷居が高いです。もっとシンプルな申請プロセスにしてほしいです。,2025-03-01,開発部,シニアエンジニア
ES030,出産・育児サポート制度が充実しており安心です。育児休暇の取得がしやすい雰囲気もあり、男性の取得率も上がっているのは良い傾向です。,2025-03-01,人事部,一般社員
ES031,社内表彰制度が新設されたのは良いことですが、選考基準が不明確です。なぜその人が選ばれたのか、具体的な功績を全社的に共有してほしいです。,2025-03-01,総務部,マネージャー
ES032,技術的な負債が蓄積しており、新機能の開発速度が落ちています。リファクタリングのための専任チームの設置を提案します。短期的な成果だけでなく、中長期的な技術戦略が必要です。,2025-03-01,開発部,テックリード
ES033,お客様対応のマニュアルが整備されたおかげで、新人でも一定品質のサポートが提供できるようになりました。ナレッジベースの充実に感謝します。,2025-03-01,カスタマーサポート部,リーダー
ES034,通勤手当の上限が月額30,000円ですが、最近の定期代値上げで実際の通勤費を賄えなくなっています。上限の見直しをお願いします。,2025-03-01,経理部,一般社員
ES035,チーム内の知識共有が活発になっています。毎週の技術共有会では、各メンバーが学んだことを発表し合い、チーム全体のスキルアップにつながっています。,2025-03-01,開発部,一般社員
ES036,顧客からのクレームが増加傾向にありますが、根本原因の分析ができていません。データに基づいた改善策の立案体制を構築すべきです。,2025-03-01,カスタマーサポート部,マネージャー
ES037,中途入社者へのサポートが不足しています。新卒入社者には手厚い研修がありますが、中途入社者は即戦力を求められるだけで、社内ルールや文化の説明が不十分です。,2025-03-01,人事部,一般社員
ES038,会議が多すぎて集中して作業する時間が取れません。1日の半分以上が会議で埋まる日もあります。会議の目的と必要性を見直して、不要な会議を削減してほしいです。,2025-03-01,マーケティング部,一般社員
ES039,情報セキュリティの意識が社内全体で高まっていると感じます。フィッシングメールの訓練や定期的なセキュリティ啓発活動の成果が出ているようです。,2025-03-01,情報システム部,リーダー
ES040,社内のペーパーレス化が進んでおらず、まだ紙の書類が多いです。承認プロセスの電子化を加速してほしいです。ハンコ文化からの脱却が急務です。,2025-03-01,総務部,一般社員
ES041,若手社員のアイデアが採用される機会が少ないと感じます。提案制度はありますが、実際に実行に移された例を聞いたことがありません。ボトムアップの風土づくりを期待します。,2025-03-01,企画部,一般社員
ES042,データセキュリティに対する投資が不十分です。顧客データを扱う以上、セキュリティツールの導入やインシデント対応体制の強化にもっとリソースを割くべきです。,2025-03-01,情報システム部,マネージャー
ES043,有給休暇の取得推進が進んでいることを実感しています。以前は取りづらい雰囲気がありましたが、上司が率先して休暇を取るようになり、部署全体の取得率が上がりました。,2025-03-01,営業部,一般社員
ES044,英語力向上のための支援が手薄です。グローバル化を推進するなら、英会話レッスンの費用補助や、TOEIC受験の支援をもっと充実させてほしいです。,2025-03-01,営業部,一般社員
ES045,リモートワーク中の運動不足が深刻です。会社として健康促進プログラム（フィットネスクラブの法人契約など）を導入してもらえると、社員の健康維持に役立つと思います。,2025-03-01,人事部,一般社員
ES046,業務プロセスの自動化に積極的に取り組んでいる点は評価できます。RPAの導入で定型業務が削減され、より付加価値の高い業務に集中できるようになりました。,2025-03-01,経理部,マネージャー
ES047,障害者雇用の取り組みが進んでいますが、バリアフリーの整備がまだ不十分です。車椅子ユーザーがアクセスしにくいエリアがあり、改善が必要です。,2025-03-01,総務部,一般社員
ES048,技術選定において最新のトレンドを積極的に取り入れる姿勢は良いですが、安定性の検証が不十分なまま本番環境に導入するケースが見られます。もっと慎重に評価すべきです。,2025-03-01,開発部,シニアエンジニア
ES049,目標設定のプロセスが改善されました。OKR方式の導入で、個人の目標と組織の方向性が明確にリンクするようになり、日々の業務の優先順位がつけやすくなりました。,2025-03-01,企画部,マネージャー
ES050,退職者面談の結果が組織改善に活かされていないように感じます。毎回同じような理由で退職する人がいるのに、対策が講じられないのは問題です。離職率の低減に真剣に取り組むべきです。,2025-03-01,人事部,マネージャー
